code,StopTime,tau_min,conv_ratio,P_ECS,P_VEN,P_SAS,P_SPI,V_VEN,V_SPI,V_ECS,V_All,V_A,V_C,V_V,V_Vessel,V_SAS,V_PAS,V_brain,Q_VEN,Q_SPI,Q_SAS,Q_SLS,Q_SSS,Q_OLS,Q_out,Q_GS,Q_ECS,Q_BBB,Q_A,P_A,SW_P_ECS,SW_P_SAS,SW_P_VEN,SW_V_VEN,SW_V_SPI,SW_V_Vessel,SW_V_A,SW_V_C,SW_V_V,SW_Q_VEN,SW_Q_SPI,SW_Q_A,SW_P_A
S_WAVE_RADIAL,3000,7.561,0.680,10.34284,11.767072,10.517074,10.516335,24.908077,80.08307,198.0097,NaN,45.141252,19.987102,74.985518,140.11387,35.017423,20.993861,NaN,0.29999936,0.073952849,0.22604651,0.075816735,0.10536017,0.15590776,0.33708455,0.13520542,0.1723327,0.037172897,724.72726,96.051152,2.3680695,1.0738305,2.3686088,0.00089474966,0.18808724,0.94398408,0.82400788,0.59911742,0.24288748,0.44640851,107.22504,899.29371,39.588081
S_WAVE_CENTRAL,3000,7.561,0.680,10.323952,11.758907,10.508909,10.508166,24.911652,80.077325,198.01731,NaN,45.1318,19.978514,74.98156,140.09187,35.018496,21.000404,NaN,0.29999953,0.074244474,0.22575506,0.075408325,0.10473675,0.15566798,0.33581229,0.1337252,0.16960666,0.03591488,718.95952,95.346373,2.0340705,0.78054879,2.0347918,0.00075594909,0.15886887,0.80977682,0.67598575,0.42945807,0.16921999,0.37794363,75.573795,649.76317,31.882604
S_WAVE_AMP120,3000,7.561,0.680,10.333812,11.758853,10.508855,10.508108,24.908347,80.077211,198.02115,NaN,45.132671,19.981106,74.982706,140.09648,35.017504,20.99686,NaN,0.29999954,0.074748213,0.22525132,0.075405393,0.1050235,0.15577827,0.33620607,0.13559378,0.17182778,0.036294487,720.83328,95.575334,2.3310343,0.88200832,2.3317227,0.00088968715,0.18394196,0.9292255,0.73420529,0.49687736,0.19595571,0.43728956,89.044264,791.80282,35.187799
S_WAVE_AMP080,3000,7.561,0.680,10.317664,11.76381,10.513811,10.513062,24.915382,80.080882,198.00569,NaN,45.136123,19.978862,74.981799,140.09678,35.019615,21.002754,NaN,0.29999959,0.074979253,0.22502033,0.075653085,0.10459767,0.15561449,0.33586421,0.13134361,0.16728625,0.035965774,718.96682,95.347263,1.6286364,0.6249702,1.6292123,0.00060515122,0.12719683,0.64815339,0.5422323,0.34314834,0.13549811,0.30261821,60.440504,518.24835,25.597496
S_PVI_20,3000,6.049,0.627,10.324159,11.759917,10.509918,10.50918,24.911919,80.06229,197.99478,NaN,45.131932,19.978503,74.981535,140.09197,35.018576,21.00063,NaN,0.29999966,0.073813002,0.22618666,0.075459003,0.1047518,0.15567377,0.33588504,0.13356372,0.16946716,0.035913261,718.95952,95.346373,2.3502047,0.91071118,2.3509287,0.00084970103,0.17869351,0.77889969,0.66552426,0.41646811,0.15974051,0.42562066,85.376157,645.46127,31.882604
S_PVI_30,3500,9.074,0.682,10.324094,11.758458,10.50846,10.507715,24.911455,80.092503,198.03981,NaN,45.13169,19.978507,74.98156,140.09176,35.018437,21.000241,NaN,0.29999952,0.074520027,0.22547949,0.075385737,0.10473686,0.15566802,0.33578964,0.13384335,0.16972131,0.035913774,718.95952,95.346373,1.793996,0.68503306,1.7946251,0.00067958871,0.142782,0.83303507,0.68382813,0.43914819,0.1768038,0.33909572,67.676907,652.82555,31.882604
S_HR_60,3000,7.561,0.680,10.323809,11.759329,10.509331,10.508585,24.91184,80.077589,198.01548,NaN,45.132226,19.978687,74.981647,140.09256,35.018552,21.000459,NaN,0.29999957,0.07461095,0.22538862,0.075429243,0.1047364,0.15566784,0.33583244,0.13358276,0.16949618,0.035940108,719.05847,95.358464,2.1626317,0.70816294,2.1632049,0.0010247836,0.17448645,0.87023038,0.66931555,0.42345765,0.16249298,0.41445963,67.53059,547.06913,31.860681
S_HR_90,3000,7.561,0.680,10.324277,11.759108,10.50911,10.508369,24.91161,80.077502,198.0179,NaN,45.132115,19.978666,74.98163,140.09241,35.018483,21.000261,NaN,0.29999948,0.074131719,0.22586776,0.075418458,0.10474802,0.15567232,0.33583816,0.13373278,0.16964225,0.035937067,719.06098,95.35877,1.899298,0.83135133,1.8999523,0.00057707211,0.14380591,0.74912037,0.67907975,0.43272754,0.17175106,0.34229343,80.397791,744.36992,31.825936
S_RFM_0.002,3000,7.561,0.680,10.323775,11.758566,10.508579,10.508419,24.911597,80.077474,198.0176,NaN,45.131768,19.978524,74.981574,140.09187,35.01848,21.000363,NaN,0.29999679,0.0799206,0.22007619,0.075420969,0.10472866,0.15566487,0.33581328,0.13374915,0.16962765,0.035916261,718.95952,95.346373,1.9892083,0.31297042,1.9892717,0.0008149402,0.1739413,0.82314003,0.6786247,0.43441595,0.16732286,0.41441364,82.994762,651.85319,31.882604
S_RFM_0.05,3000,7.561,0.680,10.32478,11.760725,10.510726,10.50697,24.911982,80.076612,198.01522,NaN,45.131875,19.97847,74.981493,140.09184,35.018595,21.000692,NaN,0.2999997,0.07512142,0.22487828,0.075348509,0.10477699,0.15568346,0.3358083,0.13358558,0.16945935,0.035908415,718.95952,95.346373,2.2581727,1.9365508,2.2590884,0.00038812463,0.080321979,0.77651297,0.66877002,0.4217518,0.15479165,0.18979248,38.110304,647.49031,31.882604
S_PSPI0_7.5,3500,8.686,0.639,10.31135,11.746183,10.4962,10.495456,24.911611,82.517307,198.01148,NaN,45.132243,19.979186,74.982361,140.09379,35.018485,21.000245,NaN,0.29999576,0.074445315,0.22555044,0.074772789,0.1042566,0.15548331,0.33449155,0.13367209,0.16911266,0.036013342,718.95955,95.346373,2.0326278,0.77997245,2.0333491,0.00075547483,0.15877699,0.80988271,0.67598647,0.42950159,0.16925567,0.3777145,75.527842,649.75125,31.882604
S_PSPI0_10.5,3000,7.528,0.681,10.324709,11.759672,10.509673,10.50893,24.911654,80.006178,198.01766,NaN,45.131773,19.978474,74.981512,140.09176,35.018496,21.000413,NaN,0.29999976,0.074232426,0.22576733,0.07544651,0.1047656,0.15567908,0.33589165,0.13372838,0.16963634,0.035908964,718.95952,95.346373,2.0341571,0.7805834,2.0348785,0.00075597756,0.15887439,0.80977046,0.67598571,0.42945546,0.16921785,0.37795739,75.576555,649.76388,31.882604
S_RBBB_0.25,3000,7.561,0.700,10.05764,11.514631,10.26463,10.264012,24.918997,79.901209,197.8801,NaN,45.141166,19.992749,74.998162,140.13208,35.020699,20.999783,NaN,0.30000012,0.061798,0.23820212,0.063200609,0.094785877,0.15184072,0.30983258,0.14552304,0.15513231,0.0095000567,718.95277,95.346373,1.9967427,0.76569752,1.9974608,0.00074410675,0.15636747,0.81252743,0.67601048,0.43061169,0.17016158,0.37192865,74.367994,649.45559,31.882604
S_RBBB_4,3000,7.561,0.609,11.156881,12.523504,11.273525,11.272399,24.888874,80.603255,198.4322,NaN,45.102505,19.933995,74.929629,139.96613,35.011664,21.002365,NaN,0.299995,0.11261114,0.18738385,0.11361993,0.13586421,0.16764008,0.41711803,0.09731485,0.21478179,0.11757123,718.98037,95.346373,2.1470072,0.82585149,2.1477362,0.00079138701,0.1663504,0.80146944,0.67601053,0.42595172,0.16639369,0.39584844,79.162788,650.74473,31.882604
